featid,tile,cells_5,tr_ka_5m_50m_21_kaspSlp_across
10062,3/4,3318,0.042278
10063,3/4,40,0.020331
10064,3/4,13,0.068253
10065,3/4,6,0.073543
10066,3/4,285,0.027901
10067,3/4,47,0.047062
10068,3/4,213,0.04519
10069,3/4,112,0.024519
10070,3/4,24,0.038485
10071,3/4,221,0.022663
10072,3/4,5,0.019026
10073,3/4,2,0.015085
10074,3/4,6,0.022507
10075,3/4,33,0.019472
10076,3/4,6,0.021045
10077,3/4,132,0.028676
10078,3/4,242,0.022353
10079,3/4,26,0.022456
10080,3/4,13,0.036188
10081,3/4,22,0.025533
10082,3/4,409,0.044523
10083,3/4,3,0.034843
10084,3/4,1,0.029685
10085,3/4,784,0.030889
10086,3/4,13,0.021052
10087,3/4,26,0.037094
10088,3/4,122,0.032645
10089,3/4,26,0.054678
10090,3/4,124,0.05639
10091,3/4,10,0.078869
10092,3/4,50,0.034599
10093,3/4,142,0.036516
10094,3/4,27,0.045541
10095,3/4,30,0.013182
10096,3/4,44,0.018294
10097,3/4,58,0.022543
10098,3/4,101,0.029965
10099,3/4,154,0.01116
10100,3/4,2,0.02529
10101,3/4,31,0.03098
10102,3/4,294,0.017442
10103,3/4,73,0.022087
10104,3/4,408,0.018935
10105,3/4,8,0.040053
10106,3/4,8,0.049224
10107,3/4,7,0.023896
10108,3/4,2,0.020446
10109,3/4,106,0.016976
10110,3/4,26,0.030683
10111,3/4,84,0.032644
10112,3/4,47,0.036047
10113,3/4,102,0.031441
10114,3/4,212,0.020622
10115,3/4,190,0.022879
10116,3/4,362,0.016902
10117,3/4,3,0.032101
10118,3/4,417,0.017286
10119,3/4,4,0.03338
10120,3/4,2,0.077108
10121,3/4,4,0.078826
10122,3/4,32,0.049824
10123,3/4,5,0.046053
10124,3/4,18,0.048945
10125,3/4,154,0.023344
10126,3/4,1,0.031755
10127,3/4,112,0.016261
10128,3/4,77,0.026909
10129,3/4,114,0.022464
10130,3/4,15,0.03499
10131,3/4,105,0.038826
10132,3/4,65,0.033998
10133,3/4,20,0.027454
10134,3/4,341,0.019877
10135,3/4,29,0.013961
10136,3/4,83,0.016119
10137,3/4,15,0.019604
10138,3/4,1213,0.070398
10139,3/4,274,0.05163
10140,3/4,30,0.047935
10141,3/4,217,0.014038
10142,3/4,5,0.026025
10143,3/4,20,0.020579
10144,3/4,111,0.007593
10145,3/4,18,0.030378
10146,3/4,18,0.020366
10147,3/4,3,0.027987
10148,3/4,209,0.013727
10149,3/4,191,0.020751
10150,3/4,48,0.01761
10151,3/4,4,0.019913
10152,3/4,24,0.050484
10153,3/4,216,0.012412
10154,3/4,341,0.046599
