featid,tile,cells_5,tr_tp_5m_100m_41_mean_diff,tr_tp_5m_100m_41_sd
10052,3/4,518,-0.478939,2.495058
10053,3/4,22,2.510637,3.4134
10054,3/4,47,-1.359289,1.674017
10055,3/4,446,-0.43407,1.194571
10056,3/4,25,0.688643,1.330526
10057,3/4,265,-0.0288,1.316476
10058,3/4,278,-0.193644,0.786741
10059,3/4,174,-0.101965,1.058994
10060,3/4,654,1.246842,2.122472
10061,3/4,114,1.113412,1.722359
10062,3/4,3318,-0.558238,2.24721
10063,3/4,40,-0.475712,1.209117
10064,3/4,13,-1.272612,3.851384
10065,3/4,6,-0.728032,3.732258
10066,3/4,285,-0.663601,1.871158
10067,3/4,47,-1.081941,2.797717
10068,3/4,213,-1.076469,2.904566
10069,3/4,112,-0.610226,2.211549
10070,3/4,24,0.41231,1.854828
10071,3/4,221,-0.466167,1.626815
10072,3/4,5,-0.571768,0.972838
10073,3/4,2,-0.384256,1.007596
