featid,tile,cells_5,tr_tp_5m_100m_41_mean_diff,tr_tp_5m_100m_41_sd
14045,3/4,21,0.662951,1.217335
14046,3/4,43,0.495487,2.566458
14047,3/4,3,-0.182836,0.828656
14048,3/4,40,-0.831409,0.856544
14049,3/4,35,0.299422,1.504055
14050,3/4,30,-0.553299,3.906419
14052,3/4,21,0.967358,1.890224
14053,3/4,31,0.739352,2.220539
14054,3/4,6,0.156216,1.498302
14055,3/4,22,-0.29083,1.313632
14056,3/4,21,-0.218302,1.383535
14057,3/4,33,0.260624,1.647794
14058,3/4,27,-0.428404,1.033834
14059,3/4,32,0.53344,3.22601
14066,3/4,6,0.219828,4.468574
14068,3/4,34,2.912458,6.579546
14072,3/4,21,0.187342,1.407447
14076,3/4,28,0.77716,1.652783
14077,3/4,24,0.828134,1.080326
14078,3/4,27,4.641855,10.235935
14080,3/4,21,0.356098,0.798587
14082,3/4,27,2.064118,3.074884
14083,3/4,10,2.123525,2.403196
14084,3/4,54,0.031272,3.990961
14085,3/4,42,-0.297199,4.080642
14086,3/4,28,-0.84449,4.427866
14090,3/4,6,0.606513,3.368388
14093,3/4,10,3.316426,7.032262
14094,3/4,34,-0.246082,4.25735
14096,3/4,66,6.519929,15.799418
14097,3/4,2,6.681651,13.264077
14098,3/4,30,5.838411,10.332736
14101,3/4,23,0.177024,4.836202
14102,3/4,5,5.664091,7.845299
14104,3/4,46,-1.835417,3.809572
14106,3/4,20,-1.113168,1.947422
14110,3/4,138,-0.323747,4.496392
14111,3/4,1,-2.488617,5.891752
14112,3/4,24,0.44355,6.350075
14116,3/4,51,8.774125,13.153398
14117,3/4,37,-2.425128,4.753388
14118,3/4,3,-1.788914,3.856195
14126,3/4,22,0.776395,7.463247
14129,3/4,111,0.8742,7.719858
14130,3/4,46,-0.253394,4.334744
14131,3/4,47,0.497749,2.286132
14132,3/4,25,-0.159156,6.421934
14133,3/4,42,-0.382611,3.551226
14134,3/4,38,-3.173336,7.686446
14135,3/4,20,0.755106,5.150422
14136,3/4,40,0.49112,5.5764
14137,3/4,39,-0.793248,4.920255
14138,3/4,15,-1.385746,5.212819
14139,3/4,34,0.942287,2.406395
14140,3/4,44,0.14039,1.797659
14142,3/4,6,-1.524874,3.36156
14143,3/4,10,-1.135864,5.097322
14144,3/4,27,-0.790901,4.535034
14147,3/4,6,-0.088425,5.690359
14148,3/4,6,0.132017,5.821841
14149,3/4,6,0.175043,5.795253
14150,3/4,110,-0.122875,7.668343
14151,3/4,40,1.586221,6.691664
14154,3/4,35,-0.19025,1.632771
14156,3/4,47,-0.296235,2.127929
14158,3/4,63,-5.051255,10.802116
14159,3/4,4,-0.490543,4.33466
14161,3/4,35,0.320949,6.578885
14162,3/4,36,0.386326,6.155094
14163,3/4,35,0.249359,7.709657
14164,3/4,29,0.893484,6.220417
14172,3/4,43,-0.375461,7.516916
14173,3/4,46,0.73686,6.558828
14175,3/4,304,0.788452,7.247542
14176,3/4,17,-0.839271,7.339138
14177,3/4,5,-0.081677,7.170712
14178,3/4,41,-0.280259,6.3468
14179,3/4,5,-0.638905,7.753573
